,standard_value,Binary,assay_type,not_sure,rdkit
0,8.63827216398241,1,binding,0,CC1(c2nnc3ccc(-c4ocnc4-c4cc(F)c(F)cc4F)cn23)CC1
1,6.828788659588901,0,binding,1,CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc([N+](=O)[O-])c2)n1
2,8.20065945054642,1,binding,0,Cc1ccc(C(=O)NC2CC2)cc1Oc1nnc(C)c2c1cnn2-c1ccc(F)cc1F
3,6.619788758288389,0,binding,1,CCCC(=O)Nc1ccc(C)c(-c2ccc(C(=O)NCC3CC3)cc2)c1
4,6.85387196432176,0,binding,1,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1CCCCO
5,6.6382721639824105,0,binding,1,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(Cl)cc(C(F)(F)F)cc1Cl
6,7.096910013008059,1,binding,1,Clc1ccc(-c2cc(-c3cccc(Br)c3)c(-c3ccncc3)[nH]2)cc1
7,6.600326278518961,0,binding,1,Cc1ccc(F)c(-c2[nH]c(CNc3cccc(C(N)=O)c3)nc2-c2ccc3ncnn3c2)n1
8,7.33724216831843,1,binding,1,O=C(Cc1ccccc1)Nc1cc(-c2c(-c3ccc(F)cc3)nc3n2CCS3)ccn1
9,8.68225812659254,1,binding,0,CC[C@@H](C)Nc1nc2ccc(-c3[nH]cnc3-c3ccccc3F)cc2s1
10,4.30102999566398,0,binding,0,O=c1[nH]nc(-c2ccnc(NC3CCCCC3)c2)n1-c1ccc2ccccc2c1
11,8.48148606012211,1,binding,0,CC(C)Nc1nc2ccc(-c3[nH]cnc3-c3ccccc3F)cc2s1
12,4.8996566681120095,0,binding,0,O=c1ncn2nc(Sc3ccccc3)ccc2c1-c1ccc(Cl)cc1Cl
13,6.92445303860747,0,binding,1,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCc3ccncc3)c2)[nH]1
14,5.8239087409443195,0,binding,0,O=C(NCc1ccccn1)c1ccc(Oc2ccccc2)cc1
15,5.68824613894425,0,binding,0,C=Cc1ccccc1NCc1nc(-c2ccc3ncnn3c2)c(-c2cccc(C)n2)[nH]1
16,7.49485002168009,1,binding,1,O=C(Nc1cc(Nc2ccc3c(c2)CCCCC3=O)ccc1F)c1ccoc1
